      0.00 4.000 
     900.00 4.000 
    1800.00 4.000 
    2700.00 4.000 
    3600.00 4.000 
    4500.00 4.000 
    5400.00 4.000 
    6300.00 4.000 
    7200.00 4.000 
    8100.00 4.000 
    9000.00 4.000 
    9900.00 4.000 
   10800.00 4.000 
   11700.00 4.000 
   12600.00 4.000 
   13500.00 4.000 
   14400.00 4.000 
   15300.00 4.000 
   16200.00 4.000 
   17100.00 4.000 
   18000.00 4.000 
   18900.00 4.000 
   19800.00 4.000 
   20700.00 4.000 
   21600.00 6.000 
   22500.00 6.000 
   23400.00 6.000 
   24300.00 6.000 
   25200.00 6.000 
   26100.00 6.000 
   27000.00 6.000 
   27900.00 6.000 
   28800.00 6.000 
   29700.00 6.000 
   30600.00 6.000 
   31500.00 6.000 
   32400.00 6.000 
   33300.00 6.000 
   34200.00 6.000 
   35100.00 6.000 
   36000.00 6.000 
   36900.00 6.000 
   37800.00 4.000 
   38700.00 4.000 
   39600.00 4.000 
   40500.00 4.000 
   41400.00 4.000 
   42300.00 4.000 
   43200.00 4.000 
   44100.00 4.000 
   45000.00 4.000 
   45900.00 4.000 
   46800.00 4.000 
   47700.00 4.000 
   48600.00 4.000 
   49500.00 4.000 
   50400.00 4.000 
   51300.00 6.000 
   52200.00 6.000 
   53100.00 6.000 
   54000.00 6.000 
   54900.00 6.000 
   55800.00 6.000 
   56700.00 6.000 
   57600.00 6.000 
   58500.00 6.000 
   59400.00 6.000 
   60300.00 6.000 
   61200.00 6.000 
   62100.00 6.000 
   63000.00 6.000 
   63900.00 6.000 
   64800.00 6.000 
   65700.00 6.000 
   66600.00 6.000 
   67500.00 6.000 
   68400.00 6.000 
   69300.00 6.000 
   70200.00 6.000 
   71100.00 6.000 
   72000.00 6.000 
   72900.00 6.000 
   73800.00 6.000 
   74700.00 6.000 
   75600.00 6.000 
   76500.00 6.000 
   77400.00 6.000 
   78300.00 6.000 
   79200.00 6.000 
   80100.00 6.000 
   81000.00 6.000 
   81900.00 6.000 
   82800.00 6.000 
   83700.00 6.000 
   84600.00 6.000 
   85500.00 6.000 
   86400.00 6.000 
   87300.00 6.000 
   88200.00 6.000 
   89100.00 6.000 
   90000.00 6.000 
   90900.00 6.000 
   91800.00 6.000 
   92700.00 6.000 
   93600.00 6.000 
   94500.00 6.000 
   95400.00 6.000 
   96300.00 6.000 
   97200.00 6.000 
   98100.00 6.000 
   99000.00 6.000 
   99900.00 6.000 
  100800.00 6.000 
  101700.00 6.000 
  102600.00 6.000 
  103500.00 6.000 
  104400.00 6.000 
  105300.00 6.000 
  106200.00 6.000 
  107100.00 6.000 
  108000.00 6.000 
  108900.00 6.000 
  109800.00 6.000 
  110700.00 6.000 
  111600.00 6.000 
  112500.00 6.000 
  113400.00 6.000 
  114300.00 6.000 
  115200.00 6.000 
  116100.00 6.000 
  117000.00 6.000 
  117900.00 6.000 
  118800.00 6.000 
  119700.00 6.000 
  120600.00 6.000 
  121500.00 6.000 
  122400.00 6.000 
  123300.00 6.000 
  124200.00 6.000 
  125100.00 6.000 
  126000.00 6.000 
  126900.00 6.000 
  127800.00 6.000 
  128700.00 6.000 
 
