   0.000   -3.046 
    1.000   -3.046 
    2.000   -3.046 
    3.000   -3.046 
    4.000   -3.046 
    5.000   -3.046 
    6.000   -3.046 
    7.000   -3.046 
    8.000   -3.046 
    9.000   -3.046 
   10.000   -3.042 
   11.000   -3.037 
   12.000   -3.023 
   13.000   -3.045 
   14.000   -3.047 
   15.000   -3.048 
   16.000   -3.048 
   17.000   -3.046 
   18.000   -3.043 
   19.000   -2.996 
   20.000   -2.931 
   21.000   -2.648 
   22.000   -2.334 
   23.000   -2.023 
   24.000   -1.684 
   25.000   -1.248 
   26.000   -0.833 
   27.000   -0.451 
   28.000   -0.130 
   29.000    0.143 
   30.000    0.509 
   31.000    0.910 
   32.000    1.017 
   33.000    1.092 
   34.000    1.145 
   35.000    1.189 
   36.000    1.202 
   37.000    1.207 
   38.000    1.201 
   39.000    1.198 
   40.000    1.198 
   41.000    1.213 
   42.000    1.233 
   43.000    1.238 
   44.000    1.237 
   45.000    1.205 
   46.000    1.178 
   47.000    1.161 
   48.000    1.127 
   49.000    1.070 
   50.000    0.843 
   51.000    0.513 
 
