      0.00 0.280 
     900.00 0.280 
    1800.00 0.280 
    2700.00 0.280 
    3600.00 0.280 
    4500.00 0.280 
    5400.00 0.330 
    6300.00 0.330 
    7200.00 0.330 
    8100.00 0.330 
    9000.00 0.330 
    9900.00 0.330 
   10800.00 0.330 
   11700.00 0.330 
   12600.00 0.330 
   13500.00 0.330 
   14400.00 0.330 
   15300.00 0.330 
   16200.00 0.330 
   17100.00 0.330 
   18000.00 0.330 
   18900.00 0.330 
   19800.00 0.330 
   20700.00 0.330 
   21600.00 0.330 
   22500.00 0.330 
   23400.00 0.330 
   24300.00 0.330 
   25200.00 0.330 
   26100.00 0.330 
   27000.00 0.330 
   27900.00 0.330 
   28800.00 0.330 
   29700.00 0.330 
   30600.00 0.330 
   31500.00 0.330 
   32400.00 0.330 
   33300.00 0.330 
   34200.00 0.330 
   35100.00 0.330 
   36000.00 0.330 
   36900.00 0.330 
   37800.00 0.390 
   38700.00 0.390 
   39600.00 0.390 
   40500.00 0.390 
   41400.00 0.390 
   42300.00 0.390 
   43200.00 0.390 
   44100.00 0.390 
   45000.00 0.390 
   45900.00 0.390 
   46800.00 0.390 
   47700.00 0.390 
   48600.00 0.390 
   49500.00 0.390 
   50400.00 0.390 
   51300.00 0.420 
   52200.00 0.420 
   53100.00 0.420 
   54000.00 0.420 
   54900.00 0.420 
   55800.00 0.420 
   56700.00 0.420 
   57600.00 0.420 
   58500.00 0.420 
   59400.00 0.420 
   60300.00 0.420 
   61200.00 0.420 
   62100.00 0.420 
   63000.00 0.420 
   63900.00 0.420 
   64800.00 0.420 
   65700.00 0.420 
   66600.00 0.420 
   67500.00 0.420 
   68400.00 0.420 
   69300.00 0.420 
   70200.00 0.420 
   71100.00 0.420 
   72000.00 0.420 
   72900.00 0.420 
   73800.00 0.420 
   74700.00 0.420 
   75600.00 0.420 
   76500.00 0.420 
   77400.00 0.420 
   78300.00 0.420 
   79200.00 0.420 
   80100.00 0.420 
   81000.00 0.420 
   81900.00 0.420 
   82800.00 0.420 
   83700.00 0.420 
   84600.00 0.420 
   85500.00 0.420 
   86400.00 0.420 
   87300.00 0.420 
   88200.00 0.420 
   89100.00 0.420 
   90000.00 0.420 
   90900.00 0.420 
   91800.00 0.420 
   92700.00 0.420 
   93600.00 0.420 
   94500.00 0.420 
   95400.00 0.420 
   96300.00 0.420 
   97200.00 0.420 
   98100.00 0.420 
   99000.00 0.420 
   99900.00 0.420 
  100800.00 0.420 
  101700.00 0.420 
  102600.00 0.420 
  103500.00 0.420 
  104400.00 0.420 
  105300.00 0.420 
  106200.00 0.420 
  107100.00 0.420 
  108000.00 0.420 
  108900.00 0.420 
  109800.00 0.420 
  110700.00 0.420 
  111600.00 0.420 
  112500.00 0.420 
  113400.00 0.420 
  114300.00 0.420 
  115200.00 0.420 
  116100.00 0.420 
  117000.00 0.420 
  117900.00 0.420 
  118800.00 0.420 
  119700.00 0.420 
  120600.00 0.420 
  121500.00 0.420 
  122400.00 0.420 
  123300.00 0.420 
  124200.00 0.420 
  125100.00 0.420 
  126000.00 0.420 
  126900.00 0.420 
  127800.00 0.420 
  128700.00 0.420 
 
